Source,Target,Type,Id,Label,Weight
0,3,Undirected,2,,3
0,4,Undirected,3,,3
0,5,Undirected,4,,4
1,3,Undirected,6,,3
1,4,Undirected,7,,4
2,3,Undirected,9,,3
2,4,Undirected,10,,6
3,4,Undirected,12,,11
3,5,Undirected,13,,7
4,5,Undirected,14,,16
6,7,Undirected,15,,4
6,18,Undirected,26,,3
6,19,Undirected,27,,3
7,9,Undirected,34,,5
7,10,Undirected,35,,8
7,11,Undirected,36,,4
7,12,Undirected,37,,4
7,13,Undirected,38,,3
7,16,Undirected,41,,4
7,17,Undirected,42,,5
7,18,Undirected,43,,5
7,19,Undirected,44,,12
7,20,Undirected,45,,4
7,21,Undirected,46,,4
7,22,Undirected,47,,12
7,23,Undirected,48,,3
7,24,Undirected,49,,12
9,10,Undirected,66,,5
9,12,Undirected,68,,4
9,15,Undirected,71,,4
9,16,Undirected,72,,3
9,18,Undirected,74,,3
9,19,Undirected,75,,5
9,20,Undirected,76,,5
9,24,Undirected,80,,8
10,12,Undirected,82,,6
10,15,Undirected,85,,4
10,16,Undirected,86,,4
10,17,Undirected,87,,3
10,18,Undirected,88,,3
10,19,Undirected,89,,14
10,21,Undirected,91,,7
10,22,Undirected,92,,11
10,24,Undirected,94,,8
11,24,Undirected,107,,6
12,15,Undirected,110,,3
12,16,Undirected,111,,4
12,18,Undirected,113,,5
12,19,Undirected,114,,7
12,20,Undirected,115,,3
12,22,Undirected,117,,3
12,24,Undirected,119,,4
14,16,Undirected,132,,3
15,18,Undirected,143,,3
15,19,Undirected,144,,5
15,20,Undirected,145,,3
15,21,Undirected,146,,3
15,22,Undirected,147,,4
15,24,Undirected,149,,4
16,18,Undirected,151,,3
16,19,Undirected,152,,5
16,20,Undirected,153,,3
16,22,Undirected,155,,4
16,24,Undirected,157,,4
17,19,Undirected,159,,4
17,20,Undirected,160,,3
17,22,Undirected,162,,5
17,24,Undirected,164,,5
18,19,Undirected,165,,6
18,20,Undirected,166,,3
18,21,Undirected,167,,3
18,22,Undirected,168,,3
18,24,Undirected,170,,3
19,21,Undirected,172,,5
19,22,Undirected,173,,6
19,24,Undirected,175,,8
20,24,Undirected,179,,5
21,22,Undirected,180,,6
21,24,Undirected,182,,5
22,24,Undirected,184,,10
25,26,Undirected,186,,3
25,4,Undirected,188,,3
25,30,Undirected,191,,3
27,4,Undirected,201,,3
4,29,Undirected,208,,5
4,30,Undirected,209,,8
4,31,Undirected,210,,4
4,32,Undirected,211,,5
28,30,Undirected,213,,3
29,32,Undirected,218,,3
30,31,Undirected,219,,3
30,32,Undirected,220,,5
7,33,Undirected,222,,11
7,34,Undirected,223,,3
7,35,Undirected,224,,3
7,36,Undirected,225,,3
7,37,Undirected,226,,5
7,39,Undirected,228,,3
7,40,Undirected,229,,5
7,42,Undirected,231,,5
7,43,Undirected,232,,5
7,44,Undirected,233,,3
7,45,Undirected,234,,12
7,48,Undirected,237,,5
7,49,Undirected,238,,3
7,52,Undirected,241,,4
7,53,Undirected,242,,3
7,54,Undirected,243,,3
7,55,Undirected,244,,4
7,56,Undirected,245,,3
7,57,Undirected,246,,6
7,58,Undirected,247,,3
7,59,Undirected,248,,3
7,60,Undirected,249,,6
7,61,Undirected,250,,4
7,62,Undirected,251,,3
7,64,Undirected,253,,3
7,65,Undirected,254,,7
7,66,Undirected,255,,6
7,67,Undirected,256,,19
7,68,Undirected,257,,3
7,69,Undirected,258,,5
7,71,Undirected,260,,3
7,72,Undirected,261,,3
7,73,Undirected,262,,3
7,74,Undirected,263,,10
7,75,Undirected,264,,5
7,76,Undirected,265,,3
7,77,Undirected,266,,3
7,78,Undirected,267,,3
33,34,Undirected,268,,5
33,10,Undirected,273,,7
33,39,Undirected,274,,4
33,40,Undirected,275,,4
33,42,Undirected,277,,4
33,43,Undirected,278,,5
33,44,Undirected,279,,5
33,45,Undirected,280,,9
33,17,Undirected,281,,3
33,47,Undirected,283,,3
33,48,Undirected,284,,4
33,49,Undirected,285,,3
33,52,Undirected,288,,6
33,53,Undirected,289,,3
33,57,Undirected,293,,7
33,59,Undirected,295,,4
33,60,Undirected,296,,5
33,61,Undirected,297,,6
33,63,Undirected,299,,3
33,21,Undirected,301,,3
33,65,Undirected,302,,5
33,22,Undirected,303,,4
33,66,Undirected,304,,5
33,67,Undirected,305,,11
33,68,Undirected,306,,4
33,69,Undirected,307,,3
