Source,Target,Type,Id,Label,Weight
0,1,Undirected,0,,176
2,3,Undirected,1,,28
2,4,Undirected,2,,42
2,5,Undirected,3,,20
2,6,Undirected,4,,37
2,7,Undirected,5,,39
2,1,Undirected,6,,110
2,8,Undirected,7,,36
3,4,Undirected,8,,25
3,5,Undirected,9,,13
3,6,Undirected,10,,15
3,7,Undirected,11,,16
3,1,Undirected,12,,54
3,8,Undirected,13,,20
4,5,Undirected,14,,18
4,6,Undirected,15,,44
4,7,Undirected,16,,31
4,1,Undirected,17,,91
4,8,Undirected,18,,23
5,6,Undirected,19,,14
5,7,Undirected,20,,15
5,1,Undirected,21,,53
5,8,Undirected,22,,15
6,7,Undirected,23,,19
6,1,Undirected,24,,66
6,8,Undirected,25,,19
7,1,Undirected,26,,81
7,8,Undirected,27,,32
1,8,Undirected,28,,75
0,9,Undirected,29,,43
9,1,Undirected,30,,94
2,10,Undirected,31,,24
2,11,Undirected,32,,30
2,12,Undirected,33,,25
2,13,Undirected,34,,14
2,14,Undirected,35,,55
2,15,Undirected,36,,25
2,16,Undirected,37,,30
10,11,Undirected,38,,15
10,4,Undirected,39,,21
10,12,Undirected,40,,22
10,6,Undirected,41,,14
10,13,Undirected,42,,18
10,14,Undirected,43,,43
10,15,Undirected,44,,28
10,1,Undirected,45,,58
10,16,Undirected,46,,18
11,4,Undirected,47,,30
11,12,Undirected,48,,13
11,6,Undirected,49,,21
11,13,Undirected,50,,16
11,14,Undirected,51,,39
11,15,Undirected,52,,17
11,1,Undirected,53,,75
11,16,Undirected,54,,31
4,12,Undirected,55,,19
4,13,Undirected,56,,14
4,14,Undirected,57,,42
4,15,Undirected,58,,21
4,16,Undirected,59,,22
12,6,Undirected,60,,16
12,13,Undirected,61,,17
12,14,Undirected,62,,43
12,15,Undirected,63,,27
12,1,Undirected,64,,71
12,16,Undirected,65,,24
6,13,Undirected,66,,8
6,14,Undirected,67,,31
6,15,Undirected,68,,14
6,16,Undirected,69,,18
13,14,Undirected,70,,39
13,15,Undirected,71,,22
13,1,Undirected,72,,59
13,16,Undirected,73,,15
14,15,Undirected,74,,51
14,1,Undirected,75,,158
14,16,Undirected,76,,48
15,1,Undirected,77,,75
15,16,Undirected,78,,21
1,16,Undirected,79,,92
2,17,Undirected,80,,55
2,18,Undirected,81,,22
2,19,Undirected,82,,16
2,20,Undirected,83,,24
2,21,Undirected,84,,32
11,17,Undirected,85,,36
11,18,Undirected,86,,18
11,19,Undirected,87,,17
11,20,Undirected,88,,17
